Number,Index,Lot,pH,Temp,Voltage,Datetime,Defect,DATE_ONLY,pH_abs_diff,pH_roll_mean_3,pH_roll_std_3,pH_acc,Temp_abs_diff,Temp_roll_mean_3,Temp_roll_std_3,Temp_acc,Voltage_abs_diff,Voltage_roll_mean_3,Voltage_roll_std_3,Voltage_acc,gmm_score,gmm_pred,knn_maha_score,knn_maha_pred,iforest_raw_pred,iforest_score,iforest_pred,lof_raw_pred,lof_score,lof_pred,normal_votes,final_label
392,392,6,1.93,43.67,15.08,2021-09-06 17:04:19,0,2021-09-06,0.17000000000000015,2.1466666666666665,0.2433789911502925,0.1399999999999999,3.1000000000000014,43.076666666666675,2.268949830501625,7.520000000000003,1.2200000000000006,16.70666666666667,1.8635807826153712,1.219999999999997,14.601574031619768,ANOMALY,3.728564796259716,ANOMALY,-1,0.5153295949512292,ANOMALY,-1,1.3405065387791681,ANOMALY,0,ANOMALY
458,458,7,2.47,41.84,15.99,2021-09-06 17:10:11,0,2021-09-06,0.30000000000000027,2.373333333333333,0.1761628034896542,0.6100000000000003,0.8399999999999963,43.03333333333333,1.403756864037795,1.0600000000000023,3.360000000000001,18.110000000000003,1.84477640921603,-3.720000000000004,18.47043283754596,ANOMALY,4.342872328211506,ANOMALY,-1,0.5185876321497377,ANOMALY,-1,1.2154169488403184,ANOMALY,0,ANOMALY
460,460,7,2.17,40.97,18.76,2021-09-06 17:10:21,0,2021-09-06,0.020000000000000018,2.263333333333333,0.17925772879665244,0.3400000000000003,0.6199999999999974,41.053333333333335,0.7484873635094694,2.1099999999999994,1.240000000000002,17.423333333333332,1.3875277774997241,-0.28999999999999737,14.523327089637588,ANOMALY,3.4189069195570014,ANOMALY,-1,0.49842857272879054,ANOMALY,-1,1.1402285791659528,ANOMALY,0,ANOMALY
531,531,8,1.83,36.8,17.75,2021-09-06 17:16:37,0,2021-09-06,0.25,1.9533333333333334,0.12503332889007607,-0.3800000000000001,4.650000000000006,39.86333333333334,2.653494551216118,-4.760000000000005,0.7800000000000011,16.75,1.1262326580240982,-0.6599999999999984,10.986205919005059,ANOMALY,3.6256089713831146,ANOMALY,-1,0.5460625862568645,ANOMALY,-1,1.1054113726964143,ANOMALY,0,ANOMALY
532,532,8,2.15,44.37,19.72,2021-09-06 17:16:42,0,2021-09-06,0.31999999999999984,2.02,0.16822603841260808,0.5699999999999998,7.57,40.87333333333333,3.817804779363861,12.220000000000006,1.9699999999999989,18.146666666666665,1.417262619747426,1.1899999999999977,16.4027996966473,ANOMALY,4.017994688001594,ANOMALY,-1,0.5889769740028952,ANOMALY,-1,1.2030018508300429,ANOMALY,0,ANOMALY
533,533,8,1.98,40.04,19.39,2021-09-06 17:16:47,0,2021-09-06,0.16999999999999993,1.9866666666666666,0.1601041327803057,-0.48999999999999977,4.329999999999998,40.40333333333333,3.798056520555424,-11.899999999999999,0.3299999999999983,18.953333333333333,1.0550987315570637,-2.299999999999997,18.04342934845725,ANOMALY,4.929218239962834,ANOMALY,-1,0.557055634658226,ANOMALY,-1,1.668065426252109,ANOMALY,0,ANOMALY
555,555,9,2.17,43.16,19.28,2021-09-06 17:18:59,0,2021-09-06,0.18999999999999995,2.07,0.0953939201416946,0.27,1.5500000000000043,43.38333333333333,1.2302980668656398,-3.980000000000004,6.32,16.723333333333333,3.3283078783870543,11.29,10.702392602639378,ANOMALY,3.171917202239138,ANOMALY,-1,0.5196597150242598,ANOMALY,-1,1.2093258267449472,ANOMALY,0,ANOMALY
620,620,9,1.96,40.08,17.02,2021-09-06 17:24:25,0,2021-09-06,0.4500000000000002,2.1433333333333335,0.23629078131262973,-0.8000000000000003,2.6999999999999957,39.43666666666667,1.822260500953001,6.169999999999995,0.75,16.493333333333336,0.4578573285787087,0.6700000000000017,16.45985111446536,ANOMALY,3.983042027234501,ANOMALY,-1,0.5651241236740505,ANOMALY,-1,1.238567047988241,ANOMALY,0,ANOMALY
621,621,9,1.9,43.74,17.87,2021-09-06 17:24:30,0,2021-09-06,0.06000000000000005,2.0900000000000003,0.27874719729532677,0.3900000000000001,3.6600000000000037,40.400000000000006,3.192052631145063,0.960000000000008,0.8500000000000014,17.053333333333335,0.8005206639014871,0.10000000000000142,24.2877695079171,ANOMALY,4.522070576278819,ANOMALY,-1,0.5363059784872867,ANOMALY,-1,1.1496769770922586,ANOMALY,0,ANOMALY
674,674,10,1.87,42.81,19.89,2021-09-06 17:29:17,0,2021-09-06,0.010000000000000009,1.9366666666666665,0.12423096769056202,0.22999999999999998,0.9400000000000048,42.89666666666667,1.0726291686008476,3.0800000000000054,6.190000000000001,16.756666666666664,3.095712088249373,9.170000000000002,10.718825948547805,ANOMALY,3.1755632028261807,ANOMALY,-1,0.5179948622385812,ANOMALY,-1,1.3722788535948172,ANOMALY,0,ANOMALY
694,694,11,1.84,42.87,15.99,2021-09-06 17:31:20,0,2021-09-06,0.1499999999999999,1.8833333333333335,0.09291573243177574,-0.31999999999999984,6.439999999999998,41.419999999999995,4.446020692709381,14.969999999999999,0.40000000000000036,15.660000000000002,0.3011644069275146,0.21000000000000085,21.116127335472033,ANOMALY,4.472173451481748,ANOMALY,-1,0.5789524028578662,ANOMALY,-1,1.0979249765115895,ANOMALY,0,ANOMALY
695,695,11,1.85,40.87,17.9,2021-09-06 17:31:25,0,2021-09-06,0.010000000000000009,1.8933333333333333,0.08386497083606088,0.15999999999999992,2.0,40.056666666666665,3.2961391556385085,-8.439999999999998,1.9099999999999984,16.493333333333336,1.23451744958641,1.509999999999998,17.309300866661772,ANOMALY,4.085331825509446,ANOMALY,-1,0.5060053855879441,ANOMALY,-1,1.2709206676119773,ANOMALY,0,ANOMALY
701,701,11,1.92,40.3,15.06,2021-09-06 17:31:55,0,2021-09-06,0.4700000000000002,2.143333333333333,0.23586719427112676,-0.7400000000000002,2.9200000000000017,42.36333333333334,1.7954479478206298,-2.5700000000000003,3.369999999999999,16.233333333333334,1.9038469826468023,-6.589999999999998,13.502218896028761,ANOMALY,3.3447826445996123,ANOMALY,-1,0.5607578132940916,ANOMALY,-1,1.2792311995632506,ANOMALY,0,ANOMALY
758,758,11,1.86,44.42,19.93,2021-09-06 17:36:40,0,2021-09-06,0.040000000000000036,1.9500000000000004,0.1915724406066813,0.3899999999999999,0.10000000000000142,44.086666666666666,0.4932882862315708,-0.6999999999999957,4.32,17.073333333333334,2.474193471281763,4.390000000000001,12.41328649148967,ANOMALY,2.8305361018203925,ANOMALY,-1,0.5101435472325109,ANOMALY,-1,1.1010367647574366,ANOMALY,0,ANOMALY
814,814,12,2.0,40.03,19.01,2021-09-06 17:41:42,0,2021-09-06,0.09000000000000008,2.103333333333333,0.2608320021265287,0.5800000000000001,3.3500000000000014,41.52,1.7053738593047547,-5.580000000000005,2.900000000000002,15.280000000000001,4.2068634396661775,-2.4899999999999967,35.10123483599658,ANOMALY,4.498178863389247,ANOMALY,-1,0.5736630153667998,ANOMALY,-1,1.1280150277971515,ANOMALY,0,ANOMALY
833,833,13,1.83,42.58,13.42,2021-09-06 17:43:37,0,2021-09-06,0.020000000000000018,1.846666666666667,0.015275252316517851,-0.010000000000000009,2.469999999999999,41.96666666666667,1.6384850726611235,5.57,6.270000000000001,16.62,3.137020879751998,-9.210000000000003,12.263738249727146,ANOMALY,3.30534650034515,ANOMALY,-1,0.5950787192494208,ANOMALY,-1,1.4746827758482688,ANOMALY,0,ANOMALY
896,896,13,2.09,43.77,19.81,2021-09-06 17:48:53,0,2021-09-06,0.2599999999999998,1.9266666666666667,0.14224392195567911,0.2899999999999998,1.1900000000000048,42.39333333333333,1.478862175232475,-0.5599999999999952,6.389999999999999,16.823333333333334,3.215312322828582,10.209999999999997,11.389965305758578,ANOMALY,3.2291533550013094,ANOMALY,-1,0.5281526062955125,ANOMALY,-1,1.20096462925559,ANOMALY,0,ANOMALY
1006,1006,15,2.15,40.5,13.98,2021-09-06 17:58:48,0,2021-09-06,0.010000000000000231,2.1566666666666667,0.0057735026918834245,-0.010000000000000231,2.3800000000000026,42.75,2.1878985351245244,-0.3900000000000077,5.449999999999999,16.77,2.727324696474545,-7.98,11.925863972517728,ANOMALY,3.0227468646887656,ANOMALY,-1,0.5462529026394951,ANOMALY,-1,1.3222462677353453,ANOMALY,0,ANOMALY
1034,1034,15,2.16,44.07,18.7,2021-09-06 18:01:08,0,2021-09-06,0.10999999999999988,2.0933333333333333,0.21779194965226117,-0.5299999999999998,0.5399999999999991,44.096666666666664,0.5804595880278136,1.6999999999999957,3.4799999999999986,17.513333333333335,1.9864876876873312,6.879999999999999,12.03440136824838,ANOMALY,2.6890166666328796,ANOMALY,-1,0.4980982874614677,ANOMALY,-1,1.1585243141928592,ANOMALY,0,ANOMALY
1065,1065,16,2.47,34.45,18.65,2021-09-06 18:04:04,0,2021-09-06,0.6100000000000001,2.046666666666667,0.3674688195389283,0.56,10.329999999999998,40.79333333333333,5.553614438663641,-11.96,0.21000000000000085,18.823333333333334,0.1582192571507237,-0.10999999999999943,49.12429107614442,ANOMALY,5.958905825296342,ANOMALY,-1,0.6674124712473056,ANOMALY,-1,1.5020877625302627,ANOMALY,0,ANOMALY
1066,1066,16,1.86,43.58,19.95,2021-09-06 18:04:09,0,2021-09-06,0.6100000000000001,2.063333333333333,0.3521836642056718,-1.2200000000000002,9.129999999999995,40.93666666666667,5.649569305118159,19.459999999999994,1.3000000000000007,19.153333333333332,0.6978777352325649,1.5100000000000016,46.536770098379804,ANOMALY,5.64015025379925,ANOMALY,-1,0.6702980390688216,ANOMALY,-1,1.3854751469235285,ANOMALY,0,ANOMALY
1067,1067,16,1.9,42.89,19.61,2021-09-06 18:04:14,0,2021-09-06,0.039999999999999813,2.0766666666666667,0.3412232895529457,0.6499999999999999,0.6899999999999977,40.306666666666665,5.083742060070835,-9.819999999999993,0.33999999999999986,19.403333333333332,0.6741908730718171,-1.6400000000000006,71.28881543616087,ANOMALY,7.205071665056124,ANOMALY,-1,0.601235316047281,ANOMALY,-1,1.2782666734314927,ANOMALY,0,ANOMALY
1118,1118,17,1.92,40.01,18.39,2021-09-06 18:08:51,0,2021-09-06,0.26000000000000023,2.063333333333333,0.13203534880225612,-0.35000000000000053,1.7100000000000009,41.74666666666666,1.750152374318691,0.0799999999999983,0.120000000000001,16.256666666666664,3.799438555014854,-6.760000000000003,29.99487156308678,ANOMALY,4.329447921104396,ANOMALY,-1,0.5190167854164391,ANOMALY,-1,1.2573541904805656,ANOMALY,0,ANOMALY
1134,1134,17,1.81,44.76,15.17,2021-09-06 18:10:11,0,2021-09-06,0.2799999999999998,1.9100000000000001,0.15620499351813216,-0.5399999999999996,1.25,42.879999999999995,2.261791325476339,-1.8900000000000006,3.3000000000000007,15.280000000000001,3.466309276449531,10.230000000000002,20.87755630492506,ANOMALY,4.544685308934098,ANOMALY,-1,0.5653415883440952,ANOMALY,-1,1.2959974892001118,ANOMALY,0,ANOMALY
1135,1135,17,2.04,41.31,17.4,2021-09-06 18:10:16,0,2021-09-06,0.22999999999999998,1.9799999999999998,0.1493318452306802,0.5099999999999998,3.4499999999999957,43.19333333333333,1.7466634860021961,-4.699999999999996,2.2299999999999986,14.813333333333333,2.782199369803217,-1.070000000000002,13.848687586059015,ANOMALY,3.7611325057544134,ANOMALY,-1,0.5045869885055236,ANOMALY,-1,1.493883185344181,ANOMALY,0,ANOMALY
1140,1140,17,2.09,43.51,11.87,2021-09-06 18:10:41,0,2021-09-06,0.0,2.0466666666666664,0.07505553499465117,-0.1299999999999999,0.0,42.906666666666666,1.0450039872332164,-1.8099999999999952,0.0,14.133333333333333,3.9202083277975737,6.790000000000001,38.65375588016149,ANOMALY,5.663020131555405,ANOMALY,-1,0.5320455757441958,ANOMALY,-1,1.5355223052615978,ANOMALY,0,ANOMALY
1141,1141,17,1.82,42.24,19.53,2021-09-06 18:10:46,0,2021-09-06,0.2699999999999998,2.0,0.1558845726811985,-0.2699999999999998,1.269999999999996,43.086666666666666,0.7332348418708197,-1.269999999999996,7.660000000000002,14.423333333333332,4.422503061992547,7.660000000000002,24.57615816547724,ANOMALY,4.661018300260535,ANOMALY,-1,0.5487850599763913,ANOMALY,-1,1.1714156466336452,ANOMALY,0,ANOMALY
1142,1142,17,2.09,41.47,19.42,2021-09-06 18:10:51,0,2021-09-06,0.2699999999999998,2.0,0.1558845726811985,0.5399999999999996,0.7700000000000031,42.406666666666666,1.0301617995894192,0.4999999999999929,0.10999999999999943,16.94,4.391093257948419,-7.770000000000001,38.651752269700694,ANOMALY,4.496503433607424,ANOMALY,-1,0.5113541747906274,ANOMALY,-1,1.1538622338133,ANOMALY,0,ANOMALY
1187,1187,18,2.44,41.77,18.83,2021-09-06 18:14:56,0,2021-09-06,0.55,2.09,0.3041381265149111,0.6000000000000001,1.0500000000000043,42.38,2.0347727145801904,4.980000000000004,0.00999999999999801,17.62,2.0871272122225792,-3.6000000000000014,25.28100859118486,ANOMALY,4.382530532417676,ANOMALY,-1,0.5721495546744775,ANOMALY,-1,1.1104909930161104,ANOMALY,0,ANOMALY
1188,1188,18,2.13,40.32,15.54,2021-09-06 18:15:01,0,2021-09-06,0.31000000000000005,2.1533333333333333,0.2757414247684475,-0.8600000000000001,1.4500000000000028,40.93666666666667,0.7488880646220928,-2.500000000000007,3.289999999999999,17.73,1.8966022250329666,-3.299999999999997,15.401601929727978,ANOMALY,3.4904010376061807,ANOMALY,-1,0.5563187617040719,ANOMALY,-1,1.2141977695191377,ANOMALY,0,ANOMALY
1189,1189,18,2.02,40.77,18.06,2021-09-06 18:15:06,0,2021-09-06,0.10999999999999988,2.1966666666666668,0.21779194965226187,0.20000000000000018,0.45000000000000284,40.95333333333334,0.7421814692738036,1.9000000000000057,2.5199999999999996,17.476666666666663,1.7208234462992804,5.809999999999999,13.040518954715877,ANOMALY,3.2429031436796834,ANOMALY,-1,0.5134279364629996,ANOMALY,-1,1.1323803069914182,ANOMALY,0,ANOMALY
1241,1241,18,1.93,40.89,15.4,2021-09-06 18:19:27,0,2021-09-06,0.5200000000000002,2.066666666666667,0.3365016097039258,-1.1500000000000004,0.5200000000000031,40.68,0.27404379212108476,0.9300000000000068,3.389999999999999,17.213333333333335,1.7073468696587006,-4.729999999999999,21.045771355679353,ANOMALY,3.59117815952819,ANOMALY,-1,0.5932281331633801,ANOMALY,-1,1.1622858328165075,ANOMALY,0,ANOMALY
1242,1242,18,2.17,42.23,17.94,2021-09-06 18:19:32,0,2021-09-06,0.24,2.1833333333333336,0.2602562839459075,0.7600000000000002,1.3399999999999963,41.163333333333334,0.9596527149617211,0.8199999999999932,2.540000000000001,17.376666666666665,1.7638121593110065,5.93,13.38459872403178,ANOMALY,3.4489973700802907,ANOMALY,-1,0.5259213094477347,ANOMALY,-1,1.2965370287460483,ANOMALY,0,ANOMALY
1256,1256,19,1.84,42.32,17.41,2021-09-06 18:21:05,0,2021-09-06,0.30999999999999983,1.9766666666666668,0.158219257150745,-0.5199999999999998,1.4100000000000037,42.29333333333333,1.3701946333763584,4.150000000000006,0.629999999999999,15.420000000000002,2.9182357684052924,-4.080000000000002,17.515772105410502,ANOMALY,3.5945598685374582,ANOMALY,-1,0.4958128580847825,ANOMALY,-1,1.2849315733313003,ANOMALY,0,ANOMALY
1293,1293,19,2.13,40.21,19.94,2021-09-06 18:24:10,0,2021-09-06,0.22999999999999998,1.9766666666666666,0.13279056191361685,0.22999999999999998,0.17999999999999972,41.75333333333333,2.5188555602363265,4.089999999999996,4.900000000000002,17.13,2.528102054902061,6.270000000000003,15.503638960470791,ANOMALY,3.0003470334580378,ANOMALY,-1,0.5177184099075578,ANOMALY,-1,1.2172005427838233,ANOMALY,0,ANOMALY
1294,1294,19,2.15,44.72,17.36,2021-09-06 18:24:15,0,2021-09-06,0.020000000000000018,2.06,0.13892443989449785,-0.20999999999999996,4.509999999999998,41.77333333333333,2.553474756744906,4.689999999999998,2.580000000000002,17.44666666666667,2.4511493902521235,-7.480000000000004,10.983363940450756,ANOMALY,3.1167328475867464,ANOMALY,-1,0.5256014969806986,ANOMALY,-1,1.202375381517818,ANOMALY,0,ANOMALY
1297,1297,19,1.82,44.86,15.85,2021-09-06 18:24:30,0,2021-09-06,0.010000000000000009,1.9233333333333336,0.1877054430040181,0.3400000000000001,3.9399999999999977,42.95666666666667,1.97338119311331,6.109999999999999,0.6800000000000015,16.1,0.3740320841853297,-1.2900000000000027,12.491411275348943,ANOMALY,2.5792774500897426,ANOMALY,-1,0.5231045539696169,ANOMALY,-1,1.0889325841184618,ANOMALY,0,ANOMALY
1363,1363,20,1.97,44.77,17.14,2021-09-06 18:30:21,0,2021-09-06,0.06000000000000005,1.9266666666666665,0.03785938897200017,0.050000000000000044,2.3600000000000065,42.73666666666667,1.8912782273725202,0.9800000000000111,2.1899999999999977,16.08,3.889871463172015,-9.749999999999996,22.154702154623852,ANOMALY,3.77762245433642,ANOMALY,-1,0.5134713338849979,ANOMALY,-1,1.2399116257290443,ANOMALY,0,ANOMALY
1366,1366,20,1.85,44.62,15.24,2021-09-06 18:30:36,0,2021-09-06,0.04999999999999982,1.9033333333333333,0.05507570547285944,0.010000000000000231,3.5899999999999963,43.51666666666666,2.1580624025577477,7.459999999999994,3.4700000000000006,15.403333333333334,3.7176919363138903,10.9,19.013283977134723,ANOMALY,4.198800499440244,ANOMALY,-1,0.5788548987409923,ANOMALY,-1,1.1850139320882254,ANOMALY,0,ANOMALY
1375,1375,20,1.9,41.03,11.77,2021-09-06 18:31:21,0,2021-09-06,0.16000000000000014,1.9666666666666668,0.08326663997864499,-0.28000000000000025,2.259999999999998,41.59,1.5005332385522214,-5.099999999999994,3.610000000000001,14.633333333333333,2.5725927258960675,-2.240000000000002,10.008063021653584,ANOMALY,3.4424130609861394,ANOMALY,-1,0.5352293310733419,ANOMALY,-1,1.1210545369004865,ANOMALY,0,ANOMALY
1377,1377,20,1.93,44.66,18.46,2021-09-06 18:31:31,0,2021-09-06,0.020000000000000018,1.926666666666667,0.02516611478423288,-0.07000000000000006,0.5799999999999983,43.25666666666667,1.9500341877344916,-2.469999999999999,0.9100000000000001,15.926666666666668,3.6284202255710887,-4.870000000000001,26.159027544588472,ANOMALY,4.356192572121983,ANOMALY,-1,0.5303122405293957,ANOMALY,-1,1.1981938399794942,ANOMALY,0,ANOMALY
1441,1441,21,2.21,37.22,15.23,2021-09-06 18:37:13,0,2021-09-06,0.3599999999999999,2.026666666666667,0.1800925687898682,0.5299999999999998,4.329999999999998,40.26333333333333,2.6460599640471485,-3.8599999999999923,4.289999999999999,16.830000000000002,2.343522989006079,-8.069999999999999,11.429865775268173,ANOMALY,3.6074359601162476,ANOMALY,-1,0.5950932209387059,ANOMALY,-1,1.2303571910698685,ANOMALY,0,ANOMALY
1442,1442,21,1.83,41.7,16.33,2021-09-06 18:37:18,0,2021-09-06,0.3799999999999999,1.9633333333333336,0.21385353243127242,-0.7399999999999998,4.480000000000004,40.156666666666666,2.5443335735184553,8.810000000000002,1.0999999999999979,17.026666666666667,2.2282354752883093,5.389999999999997,15.221463008098267,ANOMALY,3.9950334729492276,ANOMALY,-1,0.5991610106605796,ANOMALY,-1,1.1618620274984466,ANOMALY,0,ANOMALY
1443,1443,21,1.9,41.95,15.65,2021-09-06 18:37:23,0,2021-09-06,0.06999999999999984,1.9800000000000002,0.2022374841615668,0.44999999999999973,0.25,40.29,2.661634835960763,-4.230000000000004,0.6799999999999979,15.736666666666666,0.5550975890177529,-1.7799999999999958,21.60138307185228,ANOMALY,4.025833534716627,ANOMALY,-1,0.5057653595044265,ANOMALY,-1,1.5547318495508735,ANOMALY,0,ANOMALY
1515,1515,22,2.17,44.2,18.92,2021-09-06 18:43:47,0,2021-09-06,0.24,1.9933333333333334,0.15502687938977966,0.18999999999999995,3.8200000000000003,41.58666666666667,2.265421226468347,3.6199999999999974,1.0299999999999976,18.040000000000003,2.4704857821894,-5.729999999999997,11.80372549709215,ANOMALY,2.728640835220049,ANOMALY,-1,0.5100489318127533,ANOMALY,-1,1.1293300900514187,ANOMALY,0,ANOMALY
1582,64,1,2.14,42.88,16.66,2021-09-07 16:28:46,0,2021-09-07,0.14000000000000012,2.186666666666667,0.21385353243127217,0.56,0.14000000000000057,43.21333333333334,0.46144699948451084,0.5799999999999983,3.09,17.779999999999998,1.7114029332684841,-5.91,10.536311146730512,ANOMALY,2.997910296085171,ANOMALY,-1,0.5059447959990608,ANOMALY,-1,1.2535976825570905,ANOMALY,0,ANOMALY
1617,99,2,1.92,44.26,16.41,2021-09-07 16:32:02,0,2021-09-07,0.27,2.186666666666667,0.265015722804012,-0.009999999999999787,0.30999999999999517,43.89333333333334,0.398036849215463,-0.1700000000000088,3.370000000000001,18.133333333333336,1.6863076034144406,-4.940000000000001,14.670882806721506,ANOMALY,3.6327895936249157,ANOMALY,-1,0.5210561651175417,ANOMALY,-1,1.3790697612046565,ANOMALY,0,ANOMALY
1618,100,2,2.17,40.13,15.98,2021-09-07 16:32:07,0,2021-09-07,0.25,2.0933333333333333,0.15044378795195504,0.52,4.1299999999999955,42.78,2.3001956438529376,-4.439999999999991,0.4299999999999997,17.39,2.0809372888196367,2.9400000000000013,10.207834739734412,ANOMALY,2.7347394775020772,ANOMALY,-1,0.5017747654988439,ANOMALY,-1,1.1487369023974636,ANOMALY,0,ANOMALY
1636,118,2,2.45,43.47,18.21,2021-09-07 16:33:37,0,2021-09-07,0.0,2.34,0.19052558883257503,-0.33000000000000007,0.0,43.66,0.3290896534381252,0.5700000000000003,0.0,17.603333333333335,1.0507774899251316,-1.8200000000000003,21.421158976683337,ANOMALY,4.209411765461899,ANOMALY,-1,0.5492869647749319,ANOMALY,-1,1.249244859198845,ANOMALY,0,ANOMALY
1681,163,3,1.86,40.06,19.98,2021-09-07 16:37:43,0,2021-09-07,0.24999999999999978,2.04,0.15716233645501734,-0.20999999999999974,4.839999999999996,43.25666666666666,2.7687602520502415,-4.929999999999993,0.6099999999999994,18.893333333333334,1.3878160300750786,-1.4300000000000033,10.108222470114324,ANOMALY,2.9299854332667112,ANOMALY,-1,0.5333604264580322,ANOMALY,-1,1.2137682107535361,ANOMALY,0,ANOMALY
